domains,name,description
"['get.revolut.com', 'revolutbusiness.onelink.me', 'revolut.onelink.me', 'revolut.com']",revolut,
"['bit.ly', 'youtube.com', 'lespetitspres.fr', 'vision-naire.com', 'mate-cito.com', 'kganimation.fr', 'instagram.com', 'tiktok.com', 'order.store', 'paulmirabel.com', 'music.petitbiscuit.fr', 'linktr.ee', 'forms.gle', 'sylvain-chanteur.fr', 'visa.fr', 'letsplaysw.co', 'mtchm.de', 'facebook.com', 'ferme-villedieu.com', 'thewrapinstitute.eu', 'strawpoll.me', 'spektrparis.com', 'urlz.fr', 'clcr.me', 'ufostalker.com', 'konard.github.io', 'eu.novritsch.com', 'tiny.cc', 'n26.com', 'breizh-cool.bzh', 'paintball-sensation.fr', 'Amixem.schoolmouv.fr', 'igg.com', 'la-spa.fr', '4ocean.com', 'onepl.us', 'en.idcgames.com', 'neva.ly', 'twitter.com', 'yourkenzoworld.com']",ignored,
['hellofresh.fr'],hellofresh,
['fr.weareholy.com'],holy,
['nordvpn.com'],nordvpn,
['ultrapremiumdirect.com'],ultrapremiumdirect,
['vinted.shop'],vinted,
['rosefestival.fr'],rosefestival,
['ibis.accor.com'],ibis,
['saily.com'],saily,
['deliveroo.fr'],deliveroo,
"['odoo.com', '24hpourfaireunson.odoo.com', 'tribunal-challenge-scolarite.odoo.com', 'tribunal-challenge.odoo.com', 'tribunal-amixem1.odoo.com', 'concours-amixem1.odoo.com', 'production-amixem.odoo.com']",odoo,
"['emma.fr', 'emma-matelas.fr', 'shop.emma.fr']",emma,
"['url.rhinoshield.fr', 'rhinoshield.fr']",rhinoshield,
['infinitynikki.onelink.me'],infinitynikki,
['detectivebox.fr'],detectivebox,
"['amazon.fr', 'amzn.to']",amazon,
"['airup.link', 'fr.air-up.com']",airup,
['wo.ws'],worldofwarships,
['adopte.app'],adopte,
['mangerbouger.fr'],mangerbouger,
"['youtu.be', 'yt.be']",youtube,
['hoyo.link'],hoyoverse,
['gethap.pn'],happn,
['basic-fit.com'],basicfit,
['paramountplus.com'],paramountplus,
['toodays.me'],toodays,
['lego.com'],lego,
['tanks.ly'],worldoftanks,
['s.wizzapp.com'],wizzapp,
['click.fan'],clickfan,
['madtale.onelink.me'],madtale,
['opr.as'],onepagesrule,
['ludoclub.onelink.me'],ludoclub,
['vr.igg.com'],vikingrise,
['bigeventfr-callofdragons.farlightgames.com'],callofdragons,
"['bitlifefr.onelink.me', 'swcceu.onelink.me', 'kingsgroup.onelink.me']",onelink,
['incogni.com'],incogni,
['displate.com'],displate,
['thetrainline.com'],thetrainline,
['spacefox.shop'],spacefox,
['twitch.tv'],twitch,
['reforestaction.com'],reforestaction,
"['ecoflow.com', 'fr.ecoflow.com']",ecoflow,
['rebrand.ly'],rebrand,
['krups.fr'],krups,
['statesofsurvival.onelink.me'],statesofsurvival,
['app.bricks.co'],bricks,
['letsplaysw.com'],letsplay,
['audible.fr'],audible,
"['boulanger.com', 'm.boulanger.com']",boulanger,
['playhearthstone.com'],hearthstone,
['lydia-app.com'],lydia,
['mhy.link'],mhy,
"['lens.google', 'google.com', 'google.fr', 'translate.google.fr', 'lines.chromeexperiments.com', 'plus.google.com', 'goo.gl']",google,
['patron.me'],patreon,
['service-public.fr'],service-public,
['get.maiar.com'],maiar,
['reseaux.orange.fr'],orange,
"['ubi.li', 'steep.ubisoft.com']",ubisoft,
['smarturl.it'],smarturl,
"['nerf-games.fr', 'nerf.hasbro.com']",nerf,
['shop.wankil.fr'],wankil,
['biomeskateboard.fr'],biomeskatesboard,
['maps.esri.com'],esri,
['futureme.org'],futureme,
['dinosaurpictures.org'],dinosaurpictures,
['letsplay.ouigo.com'],ouigo,
['you.regettingold.com'],youregettingold,
['pixly.go2cloud.org'],pixly,
['emeraude-escape.com'],emeraude-escape,
['fr.yamaha.com'],yamaha,
['shdw.me'],shadow,
['castorama.fr'],castorama,
['philips.fr'],philips,
['dorcelstore.com'],dorcelstore,
['ldlc.com'],ldlc,
['pathe.fr'],pathe,
['chamrousse.com'],chamrousse,
['dressclub.fr'],dressclub,
['iproteck.com'],iprotech,
['monsieurcerf.com'],monsieurcerf,
['wanteeed.com'],wanteeed,
['fr.shopping.rakuten.com'],rakuten,
['enfantsdudesert.org'],enfantsdudesert,
['amixem.schoolmouv.fr'],schoolmouv,
['cancerdusein.org'],cancerdusein,
['justcause.com'],justcause,
['qwikmatch.app.link'],qwikmatch,
['crossshopper.com'],crossshopper,
['enceinteplus.fr'],enceinteplus,
['recylum.com'],recyclum,
